street	name	name-cy	place	local-authority	polyline	end-date
10307271	GREEN LANE		74550625	HRT-UC	[[51.7488551,-0.4328784],[51.7484785,-0.4336303]]	
10307360	GREENWAY		74546398	HRT-UC	[[51.7601144,-0.5824293],[51.7591167,-0.5824614]]	
10307457	GROVE ROAD		74548120	HRT-UC	[[51.8052688,-0.6572753],[51.7981875,-0.6466531]]	
10308045	HAZELDELL ROAD		74550625	HRT-UC	[[51.7490317,-0.5029724],[51.7489273,-0.5032513]]	
10308081	HEATH LANE		74550625	HRT-UC	[[51.7520173,-0.4784773],[51.744126,-0.4801621]]	
10308312	HIGH RIDGE ROAD		74550625	HRT-UC	[[51.7336818,-0.4728954],[51.7321705,-0.47354]]	
10308428	HIGH STREET		74553169	HRT-UC	[[51.7246503,-0.5347908],[51.7216592,-0.5300086]]	
10308525	HILL COMMON		74550625	HRT-UC	[[51.7378355,-0.4474535],[51.7376425,-0.4485029]]	
10308809	HOLLYBUSH LANE		74550625	HRT-UC	[[51.7614989,-0.499778],[51.7569336,-0.4999873]]	
10309316	JUPITER DRIVE		74550625	HRT-UC	[[51.7630335,-0.4565003],[51.7646293,-0.4499971]]	
10309559	KINGS ROAD		74546398	HRT-UC	[[51.7528884,-0.5775126],[51.7606439,-0.5652858]]	
10309831	LANGLEY HILL		74550630	HRT-UC	[[51.7130999,-0.4585058],[51.7119688,-0.4593404]]	
10310204	LIME WALK		74550625	HRT-UC	[[51.7457937,-0.4563353],[51.7432591,-0.4564218]]	
10310402	LOCKERS PARK LANE		74550625	HRT-UC	[[51.7544096,-0.4826853],[51.7520368,-0.4827714]]	
10310574	LONGLANDS		74550625	HRT-UC	[[51.7564188,-0.4540165],[51.7502891,-0.4542298]]	
10310627	LOVE LANE		74550630	HRT-UC	[[51.7163475,-0.4606826],[51.7138856,-0.4587686]]	
10310942	MALMES CROFT		74550625	HRT-UC	[[51.7450102,-0.4372124],[51.7450102,-0.4372285]]	
10311907	MORTIMER HILL		74548120	HRT-UC	[[51.7951842,-0.6584305],[51.7951843,-0.6584379]]	
10312169	NEW ROAD		74546617	HRT-UC	[[51.770372,-0.5897166],[51.770372,-0.5897166]]	
10312817	OLIVER ROAD		74550625	HRT-UC	[[51.7366546,-0.4595291],[51.7364027,-0.4602039]]	
10313441	PEASCROFT ROAD		74550625	HRT-UC	[[51.7418428,-0.4485761],[51.7414971,-0.4489501]]	
10313909	PRINCE EDWARD STREET		74546398	HRT-UC	[[51.7596917,-0.563896],[51.759335,-0.5641392]]	
10314309	REDWOOD DRIVE		74550625	HRT-UC	[[51.74583,-0.4645908],[51.7456163,-0.4647574]]	
10314858	RUMBALLS ROAD		74550625	HRT-UC	[[51.7401436,-0.4458825],[51.7400077,-0.446481]]	
10315180	SCHOOL ROW		74550625	HRT-UC	[[51.7505563,-0.5019516],[51.7505563,-0.5019516]]	
10315352	SHENLEY ROAD		74550625	HRT-UC	[[51.7781064,-0.444418],[51.7740238,-0.4450839]]	
10315844	ST AGNELLS LANE		74550625	HRT-UC	[[51.7767853,-0.4546973],[51.7711058,-0.454953]]	
10316275	STATION ROAD		74546868	HRT-UC	[[51.8341399,-0.7053421],[51.8319451,-0.6979308]]	
10316355	STOCKS ROAD		74546623	HRT-UC	[[51.8128813,-0.604448],[51.8024726,-0.6047698]]	
10316757	SWING GATE LANE		74546398	HRT-UC	[[51.7487351,-0.5569282],[51.7444659,-0.5570933]]	
10317142	THE COMMON		74552844	HRT-UC	[[51.7008606,-0.500844],[51.6991977,-0.5008989]]	
10318087	TROWLEY HILL ROAD		74550658	HRT-UC	[[51.8143255,-0.4389779],[51.8140917,-0.4416844]]	
10321034	WARNERS END ROAD		74550625	HRT-UC	[[51.7563036,-0.4922134],[51.7563018,-0.4922134]]	
10321092	WASHINGTON AVENUE		74550625	HRT-UC	[[51.7743923,-0.4662733],[51.7734464,-0.4490136]]	
10321890	WINDMILL ROAD		74550625	HRT-UC	[[51.7523952,-0.4605431],[51.7514321,-0.4606049]]	
10340020	BEECHWOOD PARK		74553187	HRT-UC	[[51.8247379,-0.4933949],[51.8178801,-0.4936238]]	
10402479	WESTFIELD DRIVE			DAL	[[54.4870299,-1.5295338],[54.4900006,-1.5331274]]	
10402495	BOROUGH ROAD		74555966	DAL	[[54.5242981,-1.5481864],[54.5282227,-1.5474477]]	
10402548	AUGUSTA CLOSE		74555966	DAL	[[54.5451879,-1.5189414],[54.543991,-1.5207948]]	
10402562	BARNES ROAD		74555966	DAL	[[54.5333393,-1.5860097],[54.5286083,-1.5928099]]	
10402579	BEECHWOOD AVENUE		74555966	DAL	[[54.5217231,-1.5640501],[54.5202389,-1.5611925]]	
10402671	CLEVELAND TERRACE		74555966	DAL	[[54.521341,-1.5779583],[54.5218301,-1.5638018]]	
10402690	CONYERS AVENUE		74555966	DAL	[[54.5308099,-1.5874569],[54.5305679,-1.5929604]]	
10402734	DODSWORTH STREET		74555966	DAL	[[54.5355469,-1.5378933],[54.5347928,-1.5404672]]	
10402757	EDINBURGH DRIVE		74555966	DAL	[[54.5181789,-1.5941493],[54.5259514,-1.5937943]]	
10402759	EGGLESTON VIEW		74555966	DAL	[[54.5362429,-1.5862431],[54.5400478,-1.5979667]]	
10402761	ELDON STREET		74555966	DAL	[[54.540366,-1.5503892],[54.5419301,-1.5578222]]	
10402765	ELMS ROAD		74555966	DAL	[[54.5281019,-1.5635187],[54.529403,-1.562964]]	
10402790	FENBY AVENUE		74555966	DAL	[[54.5163921,-1.5322705],[54.515856,-1.5354123]]	
10402858	HARRIS STREET		74555966	DAL	[[54.5198502,-1.5203049],[54.5192557,-1.5337671]]	
10402868	HEADINGLEY CRESCENT		74555966	DAL	[[54.5323102,-1.5190618],[54.5345276,-1.5184639]]	
10402908	INGLEBY MOOR CRESCENT		74555966	DAL	[[54.5151063,-1.5251953],[54.5146977,-1.5241187]]	
10402928	KINGSWAY		74555966	DAL	[[54.5474001,-1.5401246],[54.5462135,-1.535315]]	
10402971	LONGFIELD ROAD		74555966	DAL	[[54.5451551,-1.5599515],[54.5502107,-1.5466789]]	
10403110	REID STREET		74555966	DAL	[[54.5332407,-1.5655501],[54.5332745,-1.5624436]]	
10403138	RYDAL ROAD		74555966	DAL	[[54.5191696,-1.5394376],[54.5170658,-1.5392141]]	
10403207	THE BROADWAY		74555966	DAL	[[54.5259462,-1.5210369],[54.5228307,-1.528659]]	
10403214	THE HEADLANDS		74555966	DAL	[[54.5220547,-1.5842388],[54.5235712,-1.580979]]	
10403249	VANE TERRACE		74555966	DAL	[[54.5282855,-1.5645829],[54.5245101,-1.5643294]]	
10403334	COLERIDGE GARDENS		74555966	DAL	[[54.513446,-1.5517042],[54.5088749,-1.5526037]]	
10403462	BUSHEL HILL DRIVE		74555966	DAL	[[54.5288891,-1.5881406],[54.5297341,-1.5882094]]	
10403477	CROFT ROAD			DAL	[[54.4842741,-1.5420832],[54.4860001,-1.5351333]]	
10403514	CORPORATION ROAD		74555966	DAL	[[54.5314679,-1.5525422],[54.5316692,-1.5608846]]	
10403647	THOMPSON STREET WEST		74555966	DAL	[[54.5458921,-1.5477625],[54.5461968,-1.5572815]]	
10403797	HUNDENS LANE		74555966	DAL	[[54.5294031,-1.536402],[54.5287463,-1.5361931]]	
10403851	PRIOR STREET		74555966	DAL	[[54.5358567,-1.5785042],[54.5351078,-1.5828237]]	
10403923	HOPELANDS		74557817	DAL	[[54.5966151,-1.6189391],[54.5962009,-1.6215585]]	
10404003	ULNABY LANE		74556717	DAL	[[54.5337441,-1.6550683],[54.5531932,-1.6525386]]	
10404004	COBBY CASTLE LANE		74559328	DAL	[[54.5858336,-1.4351867],[54.5865449,-1.4354554]]	
10404011	NEWTON LANE		74555966	DAL	[[54.5351078,-1.5828237],[54.5418993,-1.5953208]]	
10404022	NEASHAM ROAD		74554845	DAL	[[54.5114698,-1.4737898],[54.5137729,-1.4681842]]	
10414017	HAUGHTON ROAD		74555966	DAL	[[54.5282493,-1.5473702],[54.5375585,-1.5235902]]	
10416358	PENDLETON ROAD SOUTH		74555966	DAL	[[54.5385564,-1.5495282],[54.540625,-1.5475424]]	
10416426	ABBEY ROAD		74555966	DAL	[[54.5239035,-1.5783182],[54.5254132,-1.5630838]]	
10416434	GRANGE ROAD		74556341	DAL	[[54.5083297,-1.5708181],[54.5219567,-1.5590575]]	
10416443	SALTERS LANE SOUTH		74555966	DAL	[[54.5408115,-1.5281119],[54.5439849,-1.5306876]]	
10416450	YARM ROAD		74555966	DAL	[[54.5232588,-1.5442273],[54.5183834,-1.4998539]]	
10416496	ALDERMAN LEACH DRIVE		74555966	DAL	[[54.547756,-1.586544],[54.5468426,-1.5875117]]	
10500062	BIRCHWOOD DRIVE		74576654	KEN-UD	[[51.4234345,0.1729327],[51.4244818,0.176593]]	
10500130	CHATSWORTH ROAD		74542785	KEN-UD	[[51.453271,0.206319],[51.4537285,0.2087737]]	
10500143	CHURCH ROAD		74576094	KEN-UD	[[51.4129479,0.2266395],[51.4117902,0.2354851]]	
10500156	COMMON LANE		74576654	KEN-UD	[[51.4323284,0.1893969],[51.4267708,0.1990001]]	
10500166	CRAYLANDS LANE		74574001	KEN-UD	[[51.4459631,0.302392],[51.451259,0.299693]]	
10500186	DARTFORD ROAD		74542785	KEN-UD	[[51.4488238,0.1897545],[51.4460806,0.2065627]]	
10500230	EYNSFORD ROAD		74574002	KEN-UD	[[51.4489633,0.2869402],[51.4473453,0.2901266]]	
10500266	GREEN STREET GREEN ROAD		74576095	KEN-UD	[[51.4341375,0.2383318],[51.4045568,0.2840921]]	
10500267	GREEN STREET GREEN ROAD		74542785	KEN-UD	[[51.4341375,0.2383318],[51.4377071,0.2355421]]	
10500290	HAYES ROAD		74574002	KEN-UD	[[51.4410576,0.2610324],[51.4436423,0.2636352]]	
10500293	HEATH LANE		74542785	KEN-UD	[[51.4388261,0.2011478],[51.4408866,0.2120686]]	
10500308	HIGH ROAD		74576654	KEN-UD	[[51.427245,0.201526],[51.4303619,0.2122361]]	
10500329	HOOK GREEN ROAD		74575269	KEN-UD	[[51.4094553,0.2989469],[51.4160595,0.3202338]]	
10500371	KEARY ROAD		74574001	KEN-UD	[[51.4402277,0.3068526],[51.4426499,0.309896]]	
10500378	KING EDWARD AVENUE		74542785	KEN-UD	[[51.4458262,0.2086085],[51.4497451,0.2096898]]	
10500412	LITTLEBROOK MANOR WAY		74542785	KEN-UD	[[51.4501632,0.2293998],[51.4548349,0.2398199]]	
10500415	LONDON ROAD		74575833	KEN-UD	[[51.4426221,0.2399986],[51.4484495,0.2786967]]	
10500426	LUNEDALE ROAD		74576095	KEN-UD	[[51.4343535,0.2420833],[51.4360448,0.2528281]]	
10500441	MAIN ROAD		74571468	KEN-UD	[[51.4000485,0.296649],[51.3885344,0.3327399]]	
10500527	PARK WAY			KEN-UD	[[51.4271361,0.1770069],[51.4285975,0.178702]]	
10500529	PARSONS LANE		74576654	KEN-UD	[[51.4305682,0.1916723],[51.430929,0.196423]]	
10500607	SHEPHERDS LANE		74542785	KEN-UD	[[51.4385925,0.1857538],[51.4460084,0.2065737]]	
10500633	SOUTHFLEET ROAD		74574001	KEN-UD	[[51.4303376,0.3181231],[51.4424948,0.3131981]]	
10500640	ST ALBANS ROAD		74542785	KEN-UD	[[51.4427145,0.2276126],[51.4465814,0.2281029]]	
10500641	ST EDMUNDS ROAD		74542785	KEN-UD	[[51.4534325,0.2291416],[51.4530007,0.2329206]]	
10500677	SUMMERHILL ROAD		74542785	KEN-UD	[[51.4424393,0.21223],[51.4440803,0.212482]]	
10500687	SWANSCOMBE STREET		74574001	KEN-UD	[[51.4414146,0.3064087],[51.4424948,0.3131981]]	
10500712	TILE KILN LANE			KEN-UD	[[51.4305592,0.1703934],[51.431269,0.1665426]]	
10500762	WENTWORTH DRIVE		74542785	KEN-UD	[[51.4429495,0.1884084],[51.447182,0.1885821]]	
10500763	WEST HILL		74542785	KEN-UD	[[51.4460806,0.2065627],[51.4451973,0.212392]]	
10500799	YORK ROAD		74542785	KEN-UD	[[51.4406382,0.2275548],[51.442614,0.228169]]	
10506051	OAKFIELD LANE		74576654	KEN-UD	[[51.4327449,0.2079342],[51.4341982,0.2152849]]	
10506225	BIRDWOOD AVENUE		74542785	KEN-UD	[[51.4630967,0.2316284],[51.4622708,0.228723]]	
10600030	MOULTON ROAD		74572609	NTH-UC	[[52.2948923,-0.8761065],[52.3054555,-0.8930565]]	
10600037	OVERSTONE PARK		74572606	NTH-UC	[[52.2753677,-0.8199154],[52.2893272,-0.8207505]]	
10600087	POUND LANE		74572607	NTH-UC	[[52.2880997,-0.8558533],[52.2895533,-0.8583377]]	
10600092	WEST STREET		74572607	NTH-UC	[[52.289501,-0.8591235],[52.2895586,-0.8551706]]	
10600147	WEST STREET		74573636	NTH-UC	[[52.4203651,-1.0546565],[52.4171851,-1.0594884]]	
10600172	WEST STREET		74548146	NTH-UC	[[52.2284464,-1.0782884],[52.2284858,-1.0865096]]	
10600215	SCHOOL ROAD		74569156	NTH-UC	[[52.3249084,-0.9478789],[52.3258545,-0.94907]]	
10600246	WELL LANE		74572194	NTH-UC	[[52.2901667,-1.1492648],[52.2919235,-1.1500108]]	
10600249	THE AVENUE		74573536	NTH-UC	[[52.2362479,-1.0622852],[52.2296091,-1.0571657]]	
10600332	ASHBY ROAD		74573619	NTH-UC	[[52.2602364,-1.1645207],[52.2861442,-1.1691795]]	
10600367	BADBY ROAD WEST		74573619	NTH-UC	[[52.2486598,-1.1739809],[52.2528699,-1.1679112]]	
10600435	TAMAR SQUARE		74559073	NTH-UC	[[52.2544781,-1.179308],[52.2532421,-1.1787009]]	
10600497	WELFORD ROAD		74571906	NTH-UC	[[52.3338135,-0.9594652],[52.3493416,-0.9774061]]	
10600554	BELL LANE		74572936	NTH-UC	[[52.1740028,-1.2474014],[52.1730204,-1.2528544]]	
10600576	FROXHILL CRESCENT		74573221	NTH-UC	[[52.3234822,-0.9037583],[52.3257163,-0.9047608]]	
10600618	HIGH STREET		74569154	NTH-UC	[[52.3028327,-1.080756],[52.3033413,-1.0740432]]	
10600678	CHURCH LANE			NTH-UC	[[52.2764636,-0.970216],[52.274533,-0.9728808]]	
10600686	HIGH STREET		74571911	NTH-UC	[[52.3482599,-1.0073507],[52.3516862,-1.0117373]]	
10600725	DAVENTRY ROAD		74573911	NTH-UC	[[52.3212448,-1.2048513],[52.328443,-1.2056663]]	
10600744	SCHOOL LANE		74573235	NTH-UC	[[52.2263366,-1.1818764],[52.2269683,-1.18344]]	
10600757	BARBY ROAD		74573616	NTH-UC	[[52.3140381,-1.1946081],[52.2924812,-1.2049838]]	
10600772	HIGH STREET		74573638	NTH-UC	[[52.4266643,-0.951055],[52.4281228,-0.954043]]	
10600793	THE GREEN		74572189	NTH-UC	[[52.3416452,-1.0779489],[52.3414418,-1.0784162]]	
10600829	SCHOOL LANE		74571936	NTH-UC	[[52.3754648,-1.1268452],[52.3765158,-1.1255024]]	
10600837	HIGH STREET		74569144	NTH-UC	[[52.171217,-1.204748],[52.1691203,-1.2058088]]	
10600911	CHURCH HILL		74572607	NTH-UC	[[52.2900763,-0.8523525],[52.2895586,-0.8551706]]	
10600964	SMITH STREET		74569156	NTH-UC	[[52.3268111,-0.9504854],[52.3254621,-0.9555357]]	
10601001	ST JAMES STREET		74573619	NTH-UC	[[52.2571691,-1.1655892],[52.255718,-1.1637998]]	
10601035	HAWKE ROAD		74300997	NTH-UC	[[52.255327,-1.1500732],[52.2565352,-1.1498225]]	
10601061	VICAR LANE		74573619	NTH-UC	[[52.2592379,-1.1568474],[52.2575764,-1.1570987]]	
10601074	MAIN ROAD		74573910	NTH-UC	[[52.3491221,-1.1464197],[52.3482013,-1.1298922]]	
10601164	WEST HADDON ROAD		74571911	NTH-UC	[[52.3546653,-1.0465076],[52.3520659,-1.0130649]]	
10601175	MOULTON LANE		74572608	NTH-UC	[[52.2830278,-0.8802568],[52.2852934,-0.8961476]]	
10601243	SYWELL ROAD		74572606	NTH-UC	[[52.2923158,-0.8124332],[52.2869836,-0.8327617]]	
10601248	SCHOOL LANE		74572213	NTH-UC	[[52.3958731,-0.9902934],[52.3954439,-0.9884661]]	
10601258	DRAUGHTON ROAD		74569826	NTH-UC	[[52.3851114,-0.9043407],[52.3880936,-0.8927104]]	
10601354	CHURCH LANE		74569153	NTH-UC	[[52.3072946,-1.0221713],[52.3020045,-1.0247845]]	
10601374	MANOR ROAD		74573912	NTH-UC	[[52.3356509,-1.1776169],[52.3339236,-1.1763393]]	
10601383	SOUTH CLOSE		74569154	NTH-UC	[[52.2994767,-1.0837789],[52.2993592,-1.0823148]]	
10601418	HARLESTONE ROAD		74573849	NTH-UC	[[52.2899949,-0.9314148],[52.2870054,-0.9433604]]	
10601429	GLEBE LANE		74573543	NTH-UC	[[52.2476442,-1.2118284],[52.2475128,-1.2087023]]	
10601447	SCHOOL HILL		74573233	NTH-UC	[[52.2322462,-1.1516482],[52.2313123,-1.1543162]]	
10618045	KETTERING ROAD		74573222	NTH-UC	[[52.3523263,-0.7899328],[52.3411433,-0.8232573]]	
10618132	HALL LANE		74573853	NTH-UC	[[52.2700744,-1.0301026],[52.268164,-1.0301536]]	
10618227	NASEBY ROAD		74573633	NTH-UC	[[52.3822433,-0.9985407],[52.3747696,-1.0166283]]	
10618403	WIMBORNE PLACE		74573619	NTH-UC	[[52.2735122,-1.1597028],[52.2728837,-1.1603697]]	
10800014	ADDISON ROAD		74550123	DER	[[52.8985825,-1.4686566],[52.8943509,-1.4552856]]	
10800038	ALLEN STREET		74550123	DER	[[52.8882975,-1.4506203],[52.8886155,-1.4474506]]	
10800049	ALVASTON STREET		74548238	DER	[[52.8990527,-1.4266545],[52.8961741,-1.4188437]]	
10800090	ARUNDEL DRIVE		74541339	DER	[[52.9202441,-1.3981905],[52.9195853,-1.3941392]]	
10800094	ASHBOURNE ROAD		74550123	DER	[[52.9329373,-1.5255146],[52.9251782,-1.4903612]]	
10800248	BLENHEIM DRIVE		74549388	DER	[[52.9500051,-1.5027206],[52.9527661,-1.4923593]]	
10800263	BORROWASH ROAD		74541339	DER	[[52.9196878,-1.3984064],[52.9098634,-1.393308]]	
10800281	BRACKENS LANE		74548238	DER	[[52.8900899,-1.4455592],[52.8886989,-1.4364959]]	
10800286	BRACKNELL DRIVE		74548238	DER	[[52.8840993,-1.4409542],[52.8868528,-1.4339338]]	
10800317	BRIDGE STREET		74550123	DER	[[52.9248198,-1.4885358],[52.9274382,-1.4828671]]	
10800324	BRIGHTON ROAD		74548238	DER	[[52.9033253,-1.4423427],[52.8981554,-1.4326274]]	
10800331	BROADWAY		74550123	DER	[[52.9343839,-1.4968739],[52.9383929,-1.4841799]]	
10800333	BROMLEY STREET		74550123	DER	[[52.9323571,-1.4916308],[52.9339446,-1.490779]]	
10800340	BROOKHOUSE STREET		74550123	DER	[[52.8881109,-1.4549922],[52.8882845,-1.4536376]]	
10800347	BROWNING STREET		74549381	DER	[[52.8918073,-1.485654],[52.8986382,-1.4854098]]	
10800408	CARLISLE AVENUE		74549383	DER	[[52.8992226,-1.5154173],[52.9001986,-1.5100992]]	
10800409	CARLTON AVENUE		74552367	DER	[[52.8801546,-1.450946],[52.8806543,-1.4462737]]	
10800526	CHURCH LANE		74550123	DER	[[52.9487632,-1.4812885],[52.9431075,-1.4789156]]	
10800532	CHURCH STREET		74541339	DER	[[52.9193631,-1.4089559],[52.9220759,-1.4085472]]	
10800578	COPELAND STREET		74550123	DER	[[52.9205196,-1.4692808],[52.9190566,-1.4677817]]	
10800584	CORDEN STREET		74549381	DER	[[52.9076869,-1.4783737],[52.908498,-1.4767879]]	
10800650	DARLEY ABBEY DRIVE		74549007	DER	[[52.9428849,-1.4814778],[52.945047,-1.4804697]]	
10800673	DEBORAH DRIVE		74550123	DER	[[52.931978,-1.4297613],[52.9331731,-1.4296564]]	
10800675	DEEP DALE LANE		74541311	DER	[[52.8744027,-1.4896043],[52.8707181,-1.4877754]]	
10800701	DEVONSHIRE DRIVE		74550122	DER	[[52.9100324,-1.536857],[52.9153714,-1.536681]]	
10800718	DOVER STREET		74549381	DER	[[52.9072079,-1.4798515],[52.9061174,-1.4792103]]	
10800724	DRAYCOTT DRIVE		74550122	DER	[[52.9134277,-1.5525985],[52.9112971,-1.5525759]]	
10800799	ELVASTON LANE		74548238	DER	[[52.8952423,-1.4268979],[52.8930066,-1.4108891]]	
10800840	FARMHOUSE ROAD		74541311	DER	[[52.8751232,-1.4941275],[52.8744325,-1.4860826]]	
10800891	FOX STREET		74550123	DER	[[52.9277873,-1.4742945],[52.9268011,-1.4688174]]	
10800896	FOYLE AVENUE		74550123	DER	[[52.9191553,-1.4327403],[52.9185692,-1.4304725]]	
10800932	GAYTON AVENUE		74549383	DER	[[52.8910001,-1.5030239],[52.8921381,-1.5021488]]	
10800969	GORDON ROAD		74550123	DER	[[52.9117783,-1.4827709],[52.9110195,-1.4819175]]	
10800972	GOWER STREET		74550123	DER	[[52.9198034,-1.4780945],[52.9193914,-1.476389]]	
10801033	HAMPSHIRE ROAD		74550123	DER	[[52.9357042,-1.4635903],[52.9350364,-1.455118]]	
10801061	HARRINGTON STREET		74549381	DER	[[52.9012221,-1.4780499],[52.9038879,-1.4690229]]	
10801133	HILLSWAY		74549383	DER	[[52.9047144,-1.5152519],[52.901765,-1.5106316]]	
10801141	HOLBROOK ROAD		74548238	DER	[[52.8871061,-1.4342723],[52.8872955,-1.4213252]]	
10801206	JACKSON AVENUE		74550122	DER	[[52.9072932,-1.5216165],[52.9099181,-1.5171714]]	
10801224	KEDLESTON ROAD		74550123	DER	[[52.9543222,-1.5075682],[52.9296711,-1.4836885]]	
10801394	LONDON ROAD		74550123	DER	[[52.9189533,-1.4748773],[52.8971213,-1.4288205]]	
10801401	LORD STREET		74550123	DER	[[52.8869555,-1.4559281],[52.8915283,-1.4533441]]	
10801441	MALCOLM STREET		74549381	DER	[[52.9086745,-1.4699607],[52.9072606,-1.467361]]	
10801457	MAPLE DRIVE		74552366	DER	[[52.8701935,-1.4392608],[52.8766108,-1.4351962]]	
10801528	MIDDLETON STREET		74549381	DER	[[52.9052947,-1.4802015],[52.9035188,-1.4790482]]	
10801537	MILL HILL LANE		74549381	DER	[[52.9117783,-1.4827709],[52.9151537,-1.4775852]]	
10801552	MONK STREET		74550123	DER	[[52.9179089,-1.484795],[52.9212542,-1.4830151]]	
10801567	MOORWAY LANE		74549383	DER	[[52.887343,-1.523189],[52.8966484,-1.5102433]]	
10801572	MORLEY ROAD		74550123	DER	[[52.9305397,-1.433529],[52.9502632,-1.4096222]]	
10801594	MURRAY ROAD		74550122	DER	[[52.916078,-1.5334761],[52.9150048,-1.5303351]]	
10801629	NEWSTEAD AVENUE		74550123	DER	[[52.9268443,-1.4390661],[52.9273006,-1.4385991]]	
10801636	NORBURY CLOSE		74549388	DER	[[52.9427526,-1.496762],[52.9427525,-1.4946192]]	
10801662	NUNS STREET		74550123	DER	[[52.9258141,-1.4898182],[52.9272403,-1.48699]]	
10801739	PARKWAY		74552366	DER	[[52.8693427,-1.4456895],[52.8701495,-1.4394545]]	
10801744	PASTURES HILL		74549383	DER	[[52.8969175,-1.5278701],[52.9048233,-1.5154886]]	
10801753	PEAR TREE STREET		74549381	DER	[[52.9020746,-1.4777126],[52.9040545,-1.4700914]]	
10801800	PORTER ROAD		74549381	DER	[[52.9067636,-1.493536],[52.9077881,-1.4830265]]	
10801813	PRINCE CHARLES AVENUE		74549754	DER	[[52.9252599,-1.529897],[52.9305414,-1.5132231]]	
10801853	RAVEN STREET		74549381	DER	[[52.9143453,-1.4923026],[52.9130814,-1.4910236]]	
10801876	REGINALD STREET		74549381	DER	[[52.9089223,-1.4710878],[52.9121206,-1.4686547]]	
10801878	REIGATE DRIVE		74549754	DER	[[52.931657,-1.5268079],[52.928878,-1.52422]]	
10801897	ROBIN CROFT ROAD		74549388	DER	[[52.9527661,-1.4923593],[52.9532433,-1.4841374]]	
10801928	ROUGH HEANOR ROAD		74550122	DER	[[52.9114103,-1.5238611],[52.9102039,-1.5233985]]	
10801961	RYKNELD ROAD		74549383	DER	[[52.8885549,-1.5387215],[52.8968637,-1.5279153]]	
10801989	SCHOOL LANE		74552366	DER	[[52.869877,-1.4350606],[52.871125,-1.4347324]]	
